id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
1,2025,Kolkata,22-Mar-25,League,,,Kolkata Knight Riders,Royal Challengers Bengaluru,,,,,,,,,,,
2,2025,Hyderabad,23-Mar-25,League,,,Sunrisers Hyderabad,Rajasthan Royals,,,,,,,,,,,
3,2025,Chennai,23-Mar-25,League,,,Chennai Super Kings,Mumbai Indians,,,,,,,,,,,
4,2025,Visakhapatnam,24-Mar-25,League,,,Delhi Capitals,Lucknow Super Giants,,,,,,,,,,,
5,2025,Ahmedabad,25-Mar-25,League,,,Gujarat Titans,Punjab Kings,,,,,,,,,,,
6,2025,Guwahati,26-Mar-25,League,,,Rajasthan Royals,Kolkata Knight Riders,,,,,,,,,,,
7,2025,Hyderabad,27-Mar-25,League,,,Sunrisers Hyderabad,Lucknow Super Giants,,,,,,,,,,,
8,2025,Chennai,28-Mar-25,League,,,Chennai Super Kings,Royal Challengers Bengaluru,,,,,,,,,,,
9,2025,Ahmedabad,29-Mar-25,League,,,Gujarat Titans,Mumbai Indians,,,,,,,,,,,
10,2025,Visakhapatnam,30-Mar-25,League,,,Delhi Capitals,Sunrisers Hyderabad,,,,,,,,,,,
11,2025,Guwahati,30-Mar-25,League,,,Rajasthan Royals,Chennai Super Kings,,,,,,,,,,,
12,2025,Mumbai,31-Mar-25,League,,,Mumbai Indians,Kolkata Knight Riders,,,,,,,,,,,
13,2025,Lucknow,01-Apr-25,League,,,Lucknow Super Giants,Punjab Kings,,,,,,,,,,,
14,2025,Bengaluru,02-Apr-25,League,,,Royal Challengers Bengaluru,Gujarat Titans,,,,,,,,,,,
15,2025,Kolkata,03-Apr-25,League,,,Kolkata Knight Riders,Sunrisers Hyderabad,,,,,,,,,,,
16,2025,Lucknow,04-Apr-25,League,,,Lucknow Super Giants,Mumbai Indians,,,,,,,,,,,
17,2025,Chennai,05-Apr-25,League,,,Chennai Super Kings,Delhi Capitals,,,,,,,,,,,
18,2025,New Chandigarh,05-Apr-25,League,,,Punjab Kings,Rajasthan Royals,,,,,,,,,,,
19,2025,Kolkata,06-Apr-25,League,,,Kolkata Knight Riders,Lucknow Super Giants,,,,,,,,,,,
20,2025,Hyderabad,06-Apr-25,League,,,Sunrisers Hyderabad,Gujarat Titans,,,,,,,,,,,
21,2025,Mumbai,07-Apr-25,League,,,Mumbai Indians,Royal Challengers Bengaluru,,,,,,,,,,,
22,2025,New Chandigarh,08-Apr-25,League,,,Punjab Kings,Chennai Super Kings,,,,,,,,,,,
23,2025,Ahmedabad,09-Apr-25,League,,,Gujarat Titans,Rajasthan Royals,,,,,,,,,,,
24,2025,Bengaluru,10-Apr-25,League,,,Royal Challengers Bengaluru,Delhi Capitals,,,,,,,,,,,
25,2025,Chennai,11-Apr-25,League,,,Chennai Super Kings,Kolkata Knight Riders,,,,,,,,,,,
26,2025,Lucknow,12-Apr-25,League,,,Lucknow Super Giants,Gujarat Titans,,,,,,,,,,,
27,2025,Hyderabad,12-Apr-25,League,,,Sunrisers Hyderabad,Punjab Kings,,,,,,,,,,,
28,2025,Jaipur,13-Apr-25,League,,,Rajasthan Royals,Royal Challengers Bengaluru,,,,,,,,,,,
29,2025,Delhi,13-Apr-25,League,,,Delhi Capitals,Mumbai Indians,,,,,,,,,,,
30,2025,Lucknow,14-Apr-25,League,,,Lucknow Super Giants,Chennai Super Kings,,,,,,,,,,,
31,2025,New Chandigarh,15-Apr-25,League,,,Punjab Kings,Kolkata Knight Riders,,,,,,,,,,,
32,2025,Delhi,16-Apr-25,League,,,Delhi Capitals,Rajasthan Royals,,,,,,,,,,,
33,2025,Mumbai,17-Apr-25,League,,,Mumbai Indians,Sunrisers Hyderabad,,,,,,,,,,,
34,2025,Bengaluru,18-Apr-25,League,,,Royal Challengers Bengaluru,Punjab Kings,,,,,,,,,,,
35,2025,Ahmedabad,19-Apr-25,League,,,Gujarat Titans,Delhi Capitals,,,,,,,,,,,
36,2025,Jaipur,19-Apr-25,League,,,Rajasthan Royals,Lucknow Super Giants,,,,,,,,,,,
37,2025,New Chandigarh,20-Apr-25,League,,,Punjab Kings,Royal Challengers Bengaluru,,,,,,,,,,,
38,2025,Mumbai,20-Apr-25,League,,,Mumbai Indians,Chennai Super Kings,,,,,,,,,,,
39,2025,Kolkata,21-Apr-25,League,,,Kolkata Knight Riders,Gujarat Titans,,,,,,,,,,,
40,2025,Lucknow,22-Apr-25,League,,,Lucknow Super Giants,Delhi Capitals,,,,,,,,,,,
41,2025,Hyderabad,23-Apr-25,League,,,Sunrisers Hyderabad,Mumbai Indians,,,,,,,,,,,
42,2025,Bengaluru,24-Apr-25,League,,,Royal Challengers Bengaluru,Rajasthan Royals,,,,,,,,,,,
43,2025,Chennai,25-Apr-25,League,,,Chennai Super Kings,Sunrisers Hyderabad,,,,,,,,,,,
44,2025,Kolkata,26-Apr-25,League,,,Kolkata Knight Riders,Punjab Kings,,,,,,,,,,,
45,2025,Mumbai,27-Apr-25,League,,,Mumbai Indians,Lucknow Super Giants,,,,,,,,,,,
46,2025,Delhi,27-Apr-25,League,,,Delhi Capitals,Royal Challengers Bengaluru,,,,,,,,,,,
47,2025,Jaipur,28-Apr-25,League,,,Rajasthan Royals,Gujarat Titans,,,,,,,,,,,
48,2025,Delhi,29-Apr-25,League,,,Delhi Capitals,Kolkata Knight Riders,,,,,,,,,,,
49,2025,Chennai,30-Apr-25,League,,,Chennai Super Kings,Punjab Kings,,,,,,,,,,,
50,2025,Jaipur,01-May-25,League,,,Rajasthan Royals,Mumbai Indians,,,,,,,,,,,
51,2025,Ahmedabad,02-May-25,League,,,Gujarat Titans,Sunrisers Hyderabad,,,,,,,,,,,
52,2025,Bengaluru,03-May-25,League,,,Royal Challengers Bengaluru,Chennai Super Kings,,,,,,,,,,,
53,2025,Kolkata,04-May-25,League,,,Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,,,
54,2025,Dharamsala,04-May-25,League,,,Punjab Kings,Lucknow Super Giants,,,,,,,,,,,
55,2025,Hyderabad,05-May-25,League,,,Sunrisers Hyderabad,Delhi Capitals,,,,,,,,,,,
56,2025,Mumbai,06-May-25,League,,,Mumbai Indians,Gujarat Titans,,,,,,,,,,,
57,2025,Kolkata,07-May-25,League,,,Kolkata Knight Riders,Chennai Super Kings,,,,,,,,,,,
58,2025,Dharamsala,08-May-25,League,,,Punjab Kings,Delhi Capitals,,,,,,,,,,,
59,2025,Lucknow,09-May-25,League,,,Lucknow Super Giants,Royal Challengers Bengaluru,,,,,,,,,,,
60,2025,Hyderabad,10-May-25,League,,,Sunrisers Hyderabad,Kolkata Knight Riders,,,,,,,,,,,
61,2025,Dharamsala,11-May-25,League,,,Punjab Kings,Mumbai Indians,,,,,,,,,,,
62,2025,Delhi,11-May-25,League,,,Delhi Capitals,Gujarat Titans,,,,,,,,,,,
63,2025,Chennai,12-May-25,League,,,Chennai Super Kings,Rajasthan Royals,,,,,,,,,,,
64,2025,Bengaluru,13-May-25,League,,,Royal Challengers Bengaluru,Sunrisers Hyderabad,,,,,,,,,,,
65,2025,Ahmedabad,14-May-25,League,,,Gujarat Titans,Lucknow Super Giants,,,,,,,,,,,
